3301
0 1 2 3
40 75 147 148
37 189 36 210
36 40 140 147
36 148 147 189
212 39 74 211
361 362 206 363
364 362 361 363
365 366 193 363
366 206 192 363
192 206 235 363
367 217 362 368
369 248 120 370
119 120 118 248
1 132 19 133
83 287 161 313
181 313 272 371
127 272 313 371
62 115 65 198
306 296 300 307
115 126 123 195
8 23 21 61
9 23 24 27
24 27 61 372
354 373 374 246
24 61 139 372
70 293 309 310
375 376 285 377
57 378 59 379
293 309 310 380
56 309 293 381
58 70 293 309
70 309 308 311
50 308 309 382
293 381 309 383
293 309 380 383
103 163 160 384
83 157 160 385
101 103 105 384
85 386 105 387
105 386 384 387
14 15 103 134
103 160 105 384
80 105 157 387
79 80 85 105
103 161 160 164
14 103 15 105
0 14 102 134
0 16 14 17
79 82 84 241
14 85 104 105
200 268 224 175
83 105 103 160
14 101 103 105
19 132 127 313
285 388 277 389
85 104 105 386
76 79 82 86
34 334 37 368
390 34 304 305
33 304 34 305
391 390 34 304
367 34 392 368
393 367 394 34
393 34 394 334
393 391 34 395
396 215 397 398
149 215 210 216
399 400 401 402
149 156 210 215
396 214 403 215
394 34 367 368
403 215 214 220
37 38 189 360
189 315 190 360
189 193 235 360
189 190 193 360
37 189 235 360
37 335 360 404
185 287 269 405
271 275 274 342
269 271 281 406
270 275 271 406
407 401 408 194
269 409 405 410
145 262 273 338
267 271 270 275
267 271 274 342
15 82 19 240
7 301 241 340
7 9 18 300
78 241 242 341
14 84 15 98
84 98 239 242
299 242 98 301
306 99 18 98
7 300 98 301
7 28 9 300
98 242 241 301
411 299 98 300
412 137 349 413
414 349 415 389
414 349 389 398
51 57 59 324
54 324 416 417
418 56 55 419
70 302 288 312
31 167 169 337
52 54 173 420
54 421 420 422
54 422 420 423
54 324 55 416
116 248 122 370
115 124 123 126
115 122 124 348
115 198 121 424
61 65 60 87
123 138 195 228
123 138 228 425
426 427 428 223
123 122 425 429
115 123 138 195
65 115 126 198
114 138 249 430
173 421 431 432
433 434 431 432
435 433 434 431
433 421 436 432
434 437 171 432
83 82 185 287
438 282 275 406
439 440 274 275
440 274 275 342
131 406 270 410
266 267 273 342
439 274 131 275
0 13 2 259
1 135 251 259
441 403 396 214
135 251 136 442
4 127 135 443
80 81 85 444
445 446 447 448
77 81 444 449
450 99 98 100
77 78 81 112
78 81 112 242
81 239 85 444
7 241 240 266
260 261 262 267
1 251 135 451
376 452 388 377
1 251 133 259
5 262 6 266
127 135 443 451
4 260 127 443
181 182 287 313
97 178 181 313
453 454 455 282
456 299 28 301
0 1 134 259
19 82 83 313
1 133 134 259
133 205 134 259
2 13 136 259
11 258 120 259
13 120 255 259
205 251 253 259
251 255 253 259
235 363 362 404
193 363 235 404
192 206 197 210
21 61 23 187
4 121 68 247
2 10 8 24
9 24 18 27
18 24 307 372
18 307 300 372
12 307 24 372
13 24 114 250
24 139 250 457
113 288 302 458
169 337 459 460
168 291 169 460
113 289 288 461
166 169 168 291
169 290 289 291
462 291 168 460
463 282 280 342
288 292 290 293
58 169 166 288
49 57 51 324
167 169 337 459
113 289 169 288
113 302 315 458
13 114 60 116
6 22 8 23
23 26 186 187
464 20 26 186
6 25 23 28
465 26 25 28
114 115 116 122
124 350 230 413
466 467 468 333
87 90 195 228
123 429 229 469
123 228 229 425
408 194 401 470
471 48 472 473
408 190 193 194
474 475 446 359
476 190 408 470
401 188 477 470
478 477 188 470
188 470 190 479
476 470 478 479
149 210 197 480
151 154 153 230
36 140 151 152
149 154 151 219
149 156 218 219
149 154 218 398
36 149 156 210
151 153 152 230
35 215 156 220
154 230 219 481
126 154 221 389
393 391 392 34
375 377 209 480
64 221 209 482
197 208 209 483
484 209 208 483
197 209 221 480
64 92 208 209
64 286 198 482
125 126 198 482
115 121 116 424
60 115 62 121
485 455 281 282
61 317 139 372
0 11 13 259
61 87 139 317
21 63 62 66
62 67 121 198
88 89 87 90
92 197 209 221
117 118 120 258
375 209 377 482
64 126 221 482
486 487 488 489
125 482 198 490
125 389 126 482
285 389 277 482
277 482 389 490
491 492 219 493
494 481 219 493
491 219 142 493
495 218 142 219
495 142 491 219
36 150 149 210
140 151 152 493
154 219 218 481
142 218 156 219
228 345 425 496
147 150 189 231
196 345 228 346
123 228 195 229
123 229 153 230
88 87 138 228
88 90 87 228
114 250 139 430
116 323 137 424
43 46 52 108
49 51 52 324
50 382 57 497
56 58 293 309
50 309 57 382
57 324 326 498
400 499 500 346
57 59 324 498
113 315 333 458
29 108 173 304
29 32 34 37
33 107 48 220
108 173 303 473
41 48 42 107
471 46 41 48
471 46 473 501
46 331 52 501
49 324 52 331
49 325 57 324
201 502 503 177
63 87 89 92
150 189 188 191
188 196 191 347
149 151 154 155
90 93 155 191
90 155 92 195
191 196 228 347
29 30 32 37
34 37 35 368
37 235 362 404
504 438 453 282
37 362 210 368
150 153 151 155
30 332 335 336
332 360 335 404
37 334 335 404
29 34 33 304
29 33 31 108
37 360 235 404
33 48 46 108
29 30 334 337
38 148 189 315
42 44 43 46
30 31 113 337
75 211 147 244
75 147 148 244
140 147 146 152
40 106 47 148
30 106 38 315
39 47 44 265
505 335 336 460
32 107 35 140
506 335 507 404
507 335 334 404
127 260 262 267
131 267 270 275
0 10 2 13
2 13 10 24
2 13 60 136
240 270 269 272
14 85 100 104
127 313 132 371
127 260 272 371
121 279 247 443
197 206 208 483
209 221 377 482
484 480 209 483
508 484 208 483
508 206 361 483
509 130 260 371
361 362 510 483
510 217 511 480
510 511 484 480
161 287 182 313
161 177 182 287
83 185 161 287
204 203 252 253
83 160 161 385
161 176 185 385
37 38 36 189
152 229 196 343
152 213 229 448
152 229 343 448
151 230 152 493
141 140 152 493
512 419 513 514
147 211 152 343
31 45 43 106
188 190 189 479
148 231 189 315
189 190 315 479
190 315 332 360
191 193 192 235
358 515 12 17
358 515 516 12
516 296 307 457
517 112 77 449
12 307 372 457
518 465 464 26
8 62 21 68
65 114 87 138
24 61 60 114
61 187 66 317
24 372 139 457
12 24 250 457
87 90 89 92
126 153 154 230
149 216 210 480
154 349 230 481
105 160 157 384
6 25 7 338
439 519 520 261
19 133 97 164
0 134 258 259
256 102 134 258
102 162 103 163
256 134 102 162
103 162 134 164
61 87 114 139
13 114 116 248
138 430 139 521
198 279 490 522
62 121 115 198
116 136 255 323
87 195 138 228
288 292 293 310
50 72 69 265
325 326 324 523
31 53 58 167
53 56 58 166
418 59 56 381
50 49 265 325
44 265 49 523
299 300 28 301
456 299 465 28
456 28 25 340
456 301 28 340
6 9 7 28
13 116 60 136
123 350 122 429
121 247 279 522
67 247 121 522
0 1 19 134
19 97 161 164
203 133 524 251
121 279 135 442
202 97 133 164
202 133 203 205
79 85 84 105
80 444 85 525
0 15 14 134
526 86 185 385
83 185 86 385
82 272 287 313
1 2 135 259
1 4 127 135
67 121 198 522
527 284 373 522
65 126 115 195
528 333 529 458
4 135 121 443
1 2 3 4
67 246 247 522
308 309 382 530
58 288 166 293
166 293 298 381
309 311 380 530
309 381 378 383
148 302 312 531
36 38 148 189
113 288 458 461
113 169 289 336
193 360 332 404
147 189 148 231
148 231 315 531
58 113 169 288
133 164 134 205
269 287 272 410
271 275 282 406
22 246 143 352
113 333 336 461
5 240 127 267
19 133 132 313
159 162 160 165
83 157 105 160
83 82 287 313
131 270 272 410
181 272 287 410
269 406 409 410
532 533 534 250
535 536 537 380
538 539 540 298
82 185 269 283
541 383 542 543
82 269 234 283
270 271 269 406
528 544 333 461
131 270 267 272
544 332 333 336
7 18 15 98
10 12 17 18
78 79 81 241
0 14 10 17
9 27 18 300
306 300 18 307
306 98 18 300
420 422 421 432
52 173 108 473
54 172 173 431
52 420 173 473
171 173 172 431
29 33 108 304
53 166 167 172
108 173 304 303
29 173 171 304
167 172 171 173
54 173 421 431
29 171 170 395
29 337 334 459
29 34 304 395
193 235 360 404
30 336 335 337
33 42 48 107
334 337 335 460
511 217 216 480
123 425 229 429
90 191 195 228
114 138 122 249
138 228 425 496
138 425 249 430
66 88 87 317
545 73 71 312
50 51 49 57
169 336 337 460
45 70 50 72
302 458 312 531
72 73 148 312
56 166 172 419
0 258 11 259
13 120 116 255
13 116 120 248
2 8 4 121
121 135 136 442
10 12 18 24
9 10 18 24
0 11 10 13
8 10 9 24
97 181 132 313
111 112 242 341
241 340 301 341
546 80 77 86
299 242 301 341
547 239 299 242
271 282 281 406
266 271 267 342
135 136 251 259
15 83 19 82
12 18 24 307
0 2 1 259
